,source_sentence,label,human,time,location
1489,"Rosar died on March 13, 1994, age 79, in Rochester, New York, while visiting the area.",death,Rosar,"March 13, 1994",Rochester
1490,Šarinić died on 21 July 2017 in Zagreb at the age of 82.,death,Šarinić,21 July 2017,Zagreb
1491,"He attended school in Mitau before moving on, in 1790, to start his university-level education, under the sponsorship of Johann Friedrich von Recke, at Mitau""s Academia Petrina where he studied theology.",education,He,1790,Mitau
1492,"After serving as papal legate to the National Eucharistic Congress in Loreto on August 30, 1930, Capotosti was appointed Pro-Apostolic Datary on July 29, 1931, rising to become full Datary on September 23, 1933.",career,Capotosti,"August 30, 1930",Loreto
1493,"By the mid-1930s, Ferber found himself "" very much disenchanted with the whole Communist movement.""  In 1938, he traveled to Europe and saw Romanesque sculpture.",movement,Ferber,1938,Europe
1494,"Upon Dietrichson""s death in 1918, he entered the position as lecturer at the Royal Frederic University.",career,he,1918,Royal Frederic University
1495,Barbara Noble was born in 1907 in North London.,birth,Barbara Noble,1907,North London
1496,"At the 2022 British National Track Championships in Newport, Wales he won another British title after winning the team pursuit title.",competition,he,2022,Newport
1497,"Wolff came with his staff on 3 May 1945 in Hamburg in British captivity, from which he was released in February 1948.",movement,Wolff,3 May 1945,Hamburg
1498,She received a bronze medal at the 1996 Summer Olympics in Atlanta.,competition,She,1996,Atlanta
1499,"In the summer of 2000, Schmidt trained with a professional team in Brazil.",education,Schmidt,the summer of 2000,Brazil
1500,"He left Europe for the United States in 1930, where he attended Columbia University and joined the staff of the American-Scandinavian Foundation in New York City.",movement,He,1930,Europe
1501,"Gharib won the silver medal in the 2008 Summer Olympics marathon held in Beijing, China, giving him his first Olympic medal.",competition,Gharib,2008,Beijing
1502,"On March 3, 2003 at the Richmond Coliseum during The Rising Tour, Thompson, together with Bruce Hornsby, joined Springsteen on stage for the Hank Ballard song ""Let""s Go, Let""s Go, Let""s Go"".",performance,Springsteen,"March 3, 2003",Richmond Coliseum
1503,"During his time at Mt. Pulaski, he married Laura Jane Dial on August 26, 1934 in Mt. Vernon, Illinois.",marriage,he,"August 26, 1934",Illinois
1504,"At the Cincinnati Open in August, Stephens scored her second big upset of the year when she knocked out Sharapova, the No. 3 player in the world, in the second round.",competition,she,August,Cincinnati Open
1505,"When he was 26, he joined a model academy in San Sebastián.",career,he,26,San Sebastián
1506,Richard John Smith was born in York in 1786.,birth,Richard John Smith,1786,York
1507,"In 1887, he was reported to be the Democrats’ selection for one of three Washington County seats in the Mississippi House of Representatives set aside for an African American per longstanding agreement.",career,he,1887,Washington County
1508,"In 211, when Liu Bei led his troops to Yi Province (covering present-day Sichuan and Chongqing), he left his chief adviser Zhuge Liang behind to take charge of his territories in Jing Province during his absence.",settlement,Zhuge Liang,211,Jing Province
1509,"Returning to England he settled down about 1845 on a small estate of his own in the Isle of Man, where he became a member of the House of Keys, and afterwards a justice of the peace.",settlement,he,about 1845,England
1510,"Like all other units, General Lim""s 41st Division was given the order to move out of their positions along the Batangas coast and move out to Bataan that Christmas Eve.",military,Lim,that Christmas Eve,Batangas
1511,"Cross went on to study under William F. Albright, the founding father of biblical archaeology, at Johns Hopkins University, where he received a PhD in 1950.",education,William F. Albright,1950,Johns Hopkins University
1512,"In 563, he was among the twelve who accompanied St Columba to the Scottish island of Iona, where he died and was buried.",movement,Columba,563,Iona
1513,Modi began his business career in 1992 as a management trainee for Philip Morris in the US where he promoted Marlboro brand cigarettes.,career,he,1992,US
1514,"Muzaffar Iqbāl (Punjabi/Urdu: مظفر اقبال; born December 3, 1954 in Lahore, Punjab, Pakistan) is a Pakistani-Canadian Islamic scholar and author.",birth,Muzaffar Iqbāl,"December 3, 1954",Lahore
1515,"He enrolled at the China Foreign Affairs University in 1981 and graduated with a bachelor""s degree in 1986.",education,He,1981,China Foreign Affairs University
1516,In December 1912 he was back in Norway without both Carmenzia and the Fram.,movement,he,December 1912,Norway
1517,"He received a master of arts and a doctor of philosophy in social psychology from Princeton University in 1983 and 1985, respectively.",education,He,1983,Princeton University
1518,Woodman was born in England in 1828.,birth,Woodman,1828,England
1519,"In 2005, Xu Deshuai was sent to Hong Kong, with other teammates such as Chao Pengfei and Ju Yingzhi.",movement,Ju Yingzhi,2005,Hong Kong
1520,In 1133 Eilika expelled Abbot Bertold from Goseck for incompetency.,movement,Eilika,1133,Goseck
1521,Duke Charles himself died in Cuna in 1640.,death,Charles,1640,Cuna
1522,"In 1905, O""Keeffe began art training at the School of the Art Institute of Chicago and then the Art Students League of New York.",education,"O""Keeffe",1905,School of Art Institute of Chicago
1523,He later returned to Urmia and taught at his old school until it closed in 1918.,career,He,1918,Urmia
1524,In his obituary in 1968 professor Joachim Werner wrote:He died in Kiel on 1 October 1967.,death,Joachim Werner,1 October 1967,Kiel
1525,"In 1944 Utter was appointed assistant professor at the University of Minnesota; in 1946 he became an associate professor at Western Reserve University in Cleveland, where his colleagues included Harland G. Wood, Warwick Sakami, Thomas P. Singer, Victor Lorber, Lester Krampitz, John Muntz and Robert Greenberg.",career,Lester Krampitz,1946,Cleveland
1526,"Flavel, the eldest son of the Rev. Richard Flavel, described as ""a painful and eminent minister,"" who was incumbent successively of Bromsgrove, Worcestershire, Hasler and Willersey, Gloucestershire (from which last living he was ejected in 1662), was born in or about 1627 at Bromsgrove.",birth,he,1662,Bromsgrove
1527,"Hankins was born 18 October 1930 in Crewe, Cheshire and at the age of 16 began an apprenticeship with the London Midland and Scottish Railway.",birth,Hankins,18 October 1930,Crewe
1528,"In 1818 Lewis Burwell assisted his older brother Mahlon in surveying London, Ontario.",career,Lewis Burwell,1818,London
1529,"In December 1947, Enver Hoxha and an Albanian delegation were invited to Bulgaria.",movement,Enver Hoxha,December 1947,Bulgaria
1530,"He began his academic career as lecturer grade I at the College of Medicine, University of Ibadan, where he became a senior lecturer in 1992.",career,He,1992,College of Medicine
1531,He resigned from the Service in 1970 and moved to Miami where he became a professor of urban studies at the University of Miami.,career,he,1970,Miami
1532,In July 2020 Vatnsdal moved back to the Faroe Islands with his family.,movement,Vatnsdal,July 2020,Faroe Islands
1533,"He began his career in 1970 as a freelance journalist and photographer in Belgium, focusing on social issues.",career,He,1970,Belgium
1534,"Davies was born on June 6, 1883, in Brooklyn, New York, the daughter of Bernard J. Douras, a lawyer and judge in New York City; and Rose Reilly.",give birth,Bernard J. Douras,"June 6, 1883",Brooklyn
1535,"The young Edward was sent off to Brasenose College, Oxford, where he matriculated on 28 March 1617.",education,he,28 March 1617,Oxford
1536,"On 2 May 2018, he moved to Real Madrid in Spain, where he became the first Italian to join the club""s youth academy.",career,he,2 May 2018,Spain
1537,"He died on February 29, 2016, in Kensington, California.",death,He,"February 29, 2016",Kensington
1538,"In any case, in November 1886 Sarwar Khan was summoned to Kabul, stripped of his governorship - which was given to Kazi Saad-ud-Din instead - and arrested.",career,Kazi Saad-ud-Din,November 1886,Kabul
1539,Sturge died in Edgbaston in 1845.,death,Sturge,1845,Edgbaston
1540,He returned to England in 1947 on his appointment as College Commander of RMA Sandhurst.,career,He,1947,England
1541,"In 1829, Horton moved to Peekskill, where he worked as a blacksmith.",career,he,1829,Peekskill
1542,"Bennett met the celebrated explorer Sir George Hubert Wilkins on 20 June 1928, in New York City during a reception honoring Wilkins after his famed flight over the Arctic Sea.",meet,George Hubert Wilkins,20 June 1928,New York City
1543,"On October 27, 2020, she was reported to be detained at the Central Women""s Correctional Institution.",justice,she,"October 27, 2020","Central Women""s Correctional Institution"
1544,He has lived and worked in New York since 1988.,settlement,He,1988,New York
1545,He stayed till 1946 when he joined the London School of Hygiene & Tropical Medicine.,career,he,1946,London School of Hygiene & Tropical Medicine
1546,Comensoli was appointed an auxiliary bishop of the Archdiocese of Sydney and titular bishop of Tigisis in Numidia by Pope Benedict XVI on 20 April 2011.,career,Comensoli,20 April 2011,Tigisis
1547,tennis biographyMarlene Weing?rtner (born 30 January 1980) is a retired tennis player from Germany.,birth,biographyMarlene Weing?rtner,30 January 1980,Germany
1548,He died in the United Kingdom in 1917.,death,He,1917,United Kingdom
1549,He was then consul general in Minneapolis from 1978 to 1982.,career,He,1978 to 1982,Minneapolis
1550,"Dougherty earned his Ph.D. in 1985 at University of California, Berkeley under the direction of Jack Silver.",education,Dougherty,1985,"University of California, Berkeley"
1551,Keeley had a short postdoctoral appointment at Musée royal de l'Afrique centrale in 1977.,career,Keeley,1977,Musée royal de l'Afrique centrale
1552,"During his time at the Kunsthaus Graz specifically, Pakesch curated some important exhibitions including Modell Martin Kippenberger  (2007), Warhol Wool Newman - Painting  and Screening Real Conner Lockhart Warhol  (2009), Measuring the World  (2011) and Heimo Zobernig (2013).Between 2003 and 2008",career,Pakesch,2007,Kunsthaus Graz
1553,"He attended the University of Missouri–Kansas City, but dropped out in 1906.",education,He,1906,University of Missouri–Kansas City
1554,"He then served in various administrative capacities until January 1945, when he was reassigned to Okinawa to command the Japanese Navy's forces as part of the Japanese reinforcement effort prior to the anticipated invasion by Allied forces.",military,he,January 1945,Okinawa
1555,"Dandy Livingstone (born Robert Livingstone Thompson, 14 December 1943, Kingston, Jamaica) is a British-Jamaican ska, rocksteady, and reggae musician and producer, best known for his 1972 hit, ""Suzanne Beware of the Devil"", and for his song, ""Rudy, A Message to You"", which was later a cover hit for The Specials.",birth,Dandy Livingstone,14 December 1943,Kingston
1556,"Hamey then toured Europe, and was incorporated M.D. at Oxford 4 February 1629.",education,Hamey,4 February 1629,Europe
1557,"He died at Mission San Gabriel in 1831, and is the only missionary to be interred in its cemetery among over 2,000 other mission inhabitants, mainly Gabrielino or Tongva Indians, buried there.",death,He,1831,Mission San Gabriel
1558,"He died on 22 April 2021, in New Delhi, at age of 96.",death,He,22 April 2021,New Delhi
1559,He moved to Johannesburg to join the  prior to the 2004 season.,career,He,2004,Johannesburg
1560,"In 1986, he moved to Sydney, joining the Arthur Beetson coached Eastern Suburbs Roosters.",career,Arthur Beetson,1986,Sydney
1561,"On 28 May 2021, Guerra became assistant coach to Giovanni Stroppa at Monza.",career,Guerra,28 May 2021,Monza
1562,She emigrated to the United States as a child in 1961.,movement,She,1961,United States
1563,"In January 1854, Schumann went to Hanover, where he heard a performance of his Paradise and the Peri organized by Joachim and Brahms.",performance,Joachim,January 1854,Hanover
1564,"On January 22, 2016, Williams returned to Santa Cruz.",movement,Williams,"January 22, 2016",Santa Cruz
1565,"From 2007 to 2016, she was the Archdeacon of Buckingham in the Diocese of Oxford.",career,she,From 2007 to 2016,Buckingham
1566,"While continuing her studies in Miami, she was courted by several major record labels, recording a series of demos including a session of songs by English songwriter Richard Daniel Roman.  neededIn 2001 she moved to Mexico and signed to BMG who later released her eponymous debut album which was largely ignored by both critics and public alike.",movement,she,2001,Miami
1567,He had his first American one-man show at the Annina Nosei Gallery in March 1982.,exhibition,He,March 1982,Annina Nosei Gallery
1568,"He attended the Nashville Bible School, later known as Lipscomb University, where he earned a bachelor of arts degree in 1906.",education,he,1906,Nashville Bible School
1569,"He founded Kessler Whisky in the 1870s in Leadville, Colorado.",start org,He,the 1870s,Leadville
1570,"issuesMartha Isabel Fandi?o Pinilla (born Pacho, Colombia, 28 September 1956) is a Colombian and Italian mathematician and author of dual nationality.",birth,issuesMartha Isabel Fandi?o Pinilla,28 September 1956,Pacho
1571,"When Major Hermann Goertz, the most senior Nazi agent to be captured in Ireland, was arrested at the end of 1941, he was carrying a code later described by MI5 as ""one of the best three or four in the war"".",justice,he,the end of 1941,Ireland
1572,"Lewis Richard Farnell FBA (1856–1934) was a classical scholar and Oxford academic, where he served as Vice-Chancellor from 1920 to 1923.",career,Lewis Richard Farnell FBA (,1920 to 1923,Oxford
1573,"In 1967 he won a silver medal at the European championships, but placed only sixth at the world championships held in Bucharest, after losing to Viktor Igumenov.",competition,he,1967,Bucharest
1574,Davor Pi?kor (born 23 April 1982 in Zagreb) is a retired Croatian footballer who played as a striker.,birth,Davor Pi?kor,23 April 1982,Zagreb
1575,Robbie Duff-Scott was born Robbie Charles Scott in Bristol on 1 July 1959.,birth,Robbie Duff-Scott,1 July 1959,Bristol
1576,One of the first things that Cernuda did on arriving in Madrid in 1928 was to pay a visit to Vicente Aleixandre.,meet,Cernuda,1928,Madrid
1577,"Succeeding Bélanger as government architect in 1818, Hittorff designed many important public and private buildings in Paris and also in the south of France.",career,Hittorff,1818,Paris
1578,Back in Vienna in 1894 he took up a post at the Oriental Institute of the University of Vienna as an assistant to the Indologist Georg Bühler.,career,Georg Bühler,1894,Oriental Institute
1579,"After the war Pearson settled down in Marion County and married Sarah Martha Pearce on October 5, 1842.",marriage,Pearson,"October 5, 1842",Marion County
1580,"Changing career direction, she studied at the Auckland Teachers Training College between 1983 and 1986, receiving a certificate in primary school teaching.",education,she,between 1983 and 1986,Auckland Teachers Training College
1581,"In the winter of 1862, Foster led an expedition against the Wilmington and Weldon Railroad at Goldsboro, NC.",military,Foster,the winter of 1862,Goldsboro
1582,In 1929 Bell was appointed Bishop of Chichester.,career,Bell,1929,Chichester
1583,"In 1849, Muir's family immigrated to the United States, starting a farm near Portage, Wisconsin, called Fountain Lake Farm.",start org,Muir,1849,Portage
1584,"In 1976, Green established the Full Gospel Tabernacle church in Memphis.",start org,Green,1976,Memphis
1585,"Graduating in 1995 with a Bachelor of Arts in History and Politics, he completed his final year of study as an officer cadet at the Royal Military College, Duntroon and was commissioned into the Royal Australian Infantry Corps in 1996.",education,he,1995,Duntroon
1586,Childs based the semi-fictional account on a man he had met in Leipzig in 1989.,meet,he,1989,Leipzig
1587,Upon finishing school in 1961 Kozhyn worked as a mechanic at the Lutsk vehicle maintenance factory.,career,Kozhyn,1961,Lutsk
1588,"By 1882 he was commanding officer of his regiment, and was chosen to command the Household Cavalry Composite Regiment on its deployment to Egypt during the Anglo-Egyptian War.",military,he,1882,Egypt
1589,Bernard Barmasai (born 6 May 1974 in Keiyo) is an athlete from Kenya.,birth,Bernard Barmasai,6 May 1974,Keiyo
1590,"In 1496, he fought the French in Catalonia and Rosillon.",military,he,1496,Catalonia
1591,"Accused of being in possession of banned substances, along with Johan Museeuw and nine other riders, investigators visited their houses in 2003, they faced an initial hearing in Kortrijk on 11 October 2005.",meet,Johan Museeuw,2003,Kortrijk
1592,He graduated from Williams College in 1961.,education,He,1961,Williams College
1593,"Moses Brown was born in Providence in the Colony of Rhode Island and Providence Plantations on September 23, 1738, the son of James Brown II and Hope Power Brown.",give birth,James Brown II,"September 23, 1738",Providence
1594,"Born in Dunedin in 1930, Stewart was educated at Otago Girls' High School.",birth,Stewart,1930,Dunedin
1595,He died in 1971 and was buried in ?ystre Slidre in Oppland.,death,He,1971,Oppland
1596,Ashburn retired from Clayfield College in 1964.,career,Ashburn,1964,Clayfield College
1597,Grant Mokoena (born 2 August 1987 in Soweto) is a South African cricketer.,birth,Grant Mokoena,2 August 1987,Soweto
1598,"In 1906, after receiving his Minor Orders, he was sent to Fiesole, Italy, to pursue his studies there.",education,he,1906,Fiesole
1599,Halina Weronika Wasilewska-Trenkner was born in Warsaw on 26 April 1942.,birth,Halina Weronika Wasilewska-Trenkner,26 April 1942,Warsaw
1600,Tuqan was born in Nablus in 1940.,birth,Tuqan,1940,Nablus
1601,He subsequently participated in the 1934 Far Eastern Games held in Manila.,competition,He,1934,Manila
1602,"In 1985 he became the director of the Johns Hopkins School of Hygiene and Public Health and also served, until 1992, as the head of malaria studies at the University of Maryland School of Medicine's Center for Vaccine Development and Global Health (CVD).",career,he,1992,Johns Hopkins School of Hygiene and Public Health
1603,"Claudio Rangoni (26 September 1559 – 2 September 1621) was a Roman Catholic prelate who served as Bishop of Reggio Emilia (1592–1606)
and Apostolic Nuncio to Poland (1598–1606).",career,Claudio Rangoni,1598–1606,Poland
1604,"In 1681, resigning his positions at Cambridge, Gookin began his services as a minister.  He assisted the Apostle Eliot in his work among the Indians at Natick, and is described by him as "" a pious and worthy young man.""",career,He,1681,Natick
1605,"Lucy Boscana died on May 24, 2001, in San Juan, Puerto Rico and her remains rest at Cementerio Santa Magdalena de Pazzis in that city.",death,Lucy Boscana,"May 24, 2001",San Juan
1606,"He served in the Filipino army during the Philippine War of Independence in the late 1890s and evidently never gave up its ideals.  As late as February 1930, he and his older brother Francisco attended the First Independence Congress in Manila.",assembly,Francisco,February 1930,Manila
1607,Edmonds covered W.E.B. Du Bois’ historic trips to Los Angeles in 1913 in the pages of the Liberator.,movement,W.E.B. Du Bois’,1913,Los Angeles
1608,Grzegorz Koz?owski has graduated from law at the University of Bia?ystok (1998) and finance at the Warsaw School of Economics (1999) where he received also Ph.D. in economics (2007).He,education,he,1998,University of Bia?ystok
1609,"David Mark Greenwood (born March 25, 1960 in Park Falls, Wisconsin) is a former American football safety who played three seasons in the National Football League.",birth,David Mark Greenwood,"March 25, 1960",Wisconsin
1610,Since 2003 he has been Director of Studies in Classics at St. Benet's Hall.,career,he,2003,St. Benet's Hall
1611,"On the night of Saturday 6 June 1962, MacDonald went to a wine saloon in Pitt Street, Sydney, where he met 37-year-old Patrick Joseph Hackett, a thief and derelict who had just recently been released from prison.",meet,Patrick Joseph Hackett,6 June 1962,Sydney
1612,"Mark Cross (born 1955, Auckland), is a contemporary artist and painter from New Zealand.",birth,Mark Cross,1955,Auckland
1613,"Arriving in Warsaw in 1885, he joined the Kurier Warszawski, covering the Russian press and regional correspondence.",movement,he,1885,Warsaw
1614,From then until 1983 he worked in the private sector in America.,career,he,1983,America
1615,"In 2005, Camilla married Charles in the Windsor Guildhall, which was followed by a televised Anglican blessing at St George's Chapel in Windsor Castle.",marriage,Charles,2005,Windsor Guildhall
1616,"Linda Chen was born in 1928 in Wenzhou, Zhejiang Province and came as a child to Singapore with her parents.",birth,Linda Chen,1928,"Wenzhou, Zhejiang Province"
1617,Dòmhnall Ruadh Chorùna died at Lochmaddy on 13 August 1967.,death,Dòmhnall Ruadh Chorùna,13 August 1967,Lochmaddy
1618,"The Magentas left four children, she had a paralytic attack, from which she only partially recovered, and she died in Paris on 20 February 1900.",death,Magentas,20 February 1900.The,Paris
1619,"In 1925, Dressler filmed a pair of two-reel short movies in Europe for producer Harry Reichenbach.",creation,Dressler,1925,Europe
1620,"Sarni died at the age of 55 in Creve Coeur, Missouri.",death,Sarni,the age of 55,Missouri
1621,"After completing high school, Stoller attended the Drama Centre theatre school in London, however in 1966 she was asked to leave as she was not considered suitable for group dramatic work.",education,Stoller,1966,London
1622,"In the summer of 1918, he was posted back to France with No. 11 Squadron RAF, first stationed at Bapaume, then at Nivelles.",movement,he,the summer of 1918,France
1623,"One of the five daughters and four sons of William Marshall Harris, (1842–1905), bank manager, and Alderman of the Borough of Armidale, and Marina Jane Harris (1851–1914), née Ross, Dorothy Vernon Harris (1885–1964) was born in Armidale on 3 September 1885.",give birth,Marina Jane Harris,3 September 1885,Armidale
1624,He again elected as mayor of Trujillo between 1980 and 1983.,career,He,between 1980 and 1983,Trujillo
1625,"Begum Amina Majeed Malik was born in 1913 in Lahore, Pakistan.",birth,Amina Majeed Malik,1913,Lahore
1626,"At the 1970 British Commonwealth Games in Edinburgh, Smith won two gold medals in the 200-metre and 400-metre individual medley events.",competition,Smith,1970,Edinburgh
1627,"She made her opera début on 16 January 1893 as Sophie in the first Paris production of Jules Massenet's Werther, which also featured Marie Delna, Max Bouvet, and Guillaume Ibos in leading roles.",performance,Max Bouvet,16 January 1893,Paris
1628,"In 1923, he enrolled in the Naval War College.",education,he,1923,Naval War College
1629,The only surviving manuscripts are those that were rediscovered in the 1970s by the musicologist David J Brown at a bookshop in Worthing.,other,David J Brown,the 1970s,Worthing
1630,He graduated from the Leningrad Art Industrial High School in 1929.,education,He,1929,Leningrad Art Industrial High School
1631,"He subsequently settled in London in 1762, and unsuccessfully attempted to establish a drawing-school, after the example of the Caracci, in Maiden Lane, Covent Garden.",settlement,He,1762,London
1632,"She attended Marillac High School, where she captained the basketball team and graduated in 1971.",education,she,1971,Marillac High School
1633,"Pankhurst was born on 19 June 1885 in Manchester, England, into a politicised family: her father, Richard Pankhurst, was a socialist and candidate for Parliament, and her mother, Emmeline Pankhurst (née Goulden), and sisters, Sylvia and Christabel, were leaders of the British suffragette movement.",give birth,Goulden,19 June 1885,Manchester
1634,"In March 1979, he accompanied then-governor Sir Murray MacLehose to pay a secret visit to Beijing, where both of them had a meeting with Deng Xiaoping.",meet,Murray MacLehose,March 1979,Beijing
1635,"Three years later, Stanton moved to Florida for his health, and resided in that state until his death.",movement,Stanton,Three years,Florida
1636,She graduated in physics from the University of Naples Federico II in 1996.,education,She,1996,University of Naples Federico II
1637,Isan Reynaldo Ortiz Suárez (born 30 March 1985 in Guantánamo) is a Cuban chess grandmaster.,birth,Isan Reynaldo Ortiz Suárez,30 March 1985,Guantánamo
1638,"Hlawka studied at the University of Vienna from 1934 to 1938, when he gained his doctorate under Nikolaus Hofreiter.",education,Nikolaus Hofreiter,1934,University of Vienna
1639,"In 1884, at the age of sixteen, he went to Munich, where he was able to enroll at the Academy of Fine Arts, where his fellow Triestini, Carlo Wostry and Isidoro Grünhut, were also studying.",education,Carlo Wostry,1884,Munich
1640,"After earning scholarships to five different colleges, Roberts selected Howard University, from which she graduated, summa cum laude, in 1945.",education,she,1945,Howard University
1641,In New York he also played with the performance artist Julia Heyward in Glo-National in 1981.,performance,he,1981,New York
1642,"At 15 she ranks third in a beauty contest in Hungary and, further, to make television advertisements, she also being testimonials for magazines, newspapers and periodicals (the firsts where she worked are Kurier and Reforme).",competition,Kurier,15,Hungary
1643,"Vladimir Viktorovich Vinogradov was born in 1955 in Ufa, Bashkiria.",birth,Vladimir Viktorovich Vinogradov,1955,Ufa
1644,"In 1964, he accepted a post in Detmold, where he taught at the music academy from 1972 to 1982.",career,he,1972,Detmold
1645,He died in Madrid in November 2000.,death,He,November 2000,Madrid
1646,"Murray immigrated to New England in August of 1718 as a boy with the McClanathan, Shaw and Savage families.",movement,McClanathan,August of 1718,New England
1647,"In July 2011, he traveled but not compete with the team when they toured Europe.",movement,he,July 2011,Europe
1648,"On October 6, 2022, Gupta was honored with the Fitzwater Medallion for Leadership in Public Communication by Franklin Pierce University.",assembly,Gupta,"October 6, 2022",Franklin Pierce University
1649,"Before that, she served as Deputy Chief of Mission at the U.S. Embassy in Stockholm, Sweden, from July 1999 to August 2002.Gillian",career,she,July 1999,Stockholm
1650,"Ximenes began swimming at the age of 14 in her hometown of Baucau, when a group from FINA came to teach local children in a hotel pool.",education,Ximenes,the age of 14,Baucau
1651,"After finishing her degree, she moved to London in 2005 to train as an assistant engineer under Flood at Assault and Battery studios in North West London.",education,she,2005,London
1652,"In 1993, immediately after finishing her graduate work, Thomas moved to London to begin her career in publishing as a cell biology editor at Nature.",career,Thomas,1993,London
1653,"In Paris in 1837, Pixis was involved with the composition of Hexaméron (six composers contributed; the third variation on Bellini's theme is by Pixis).",creation,Pixis,1837,Paris
1654,"In 2003 Lerner traveled on a Fulbright Scholarship to Madrid, Spain, where he wrote his second book of poetry, Angle of Yaw, which was published in 2006.",creation,he,2006,Madrid
1655,"On 19 August, he was buried in a closed casket at the Bogoslovskoe Cemetery in Leningrad.",death,he,19 August,Leningrad
1656,In 2007 Bond took the well received award show to the prestigious Lincoln Center in Manhattan New York.,assembly,Bond,2007,Manhattan
1657,"In 2007, Kemzūra became the head coach of the Russian club Khimki Moscow Region.",career,Kemzūra,2007,Khimki Moscow Region
1658,"Mayfield was born in Carlinville, Illinois on January 1, 1869.",birth,Mayfield,"January 1, 1869",Carlinville
1659,In 1627 Amin was in command of the expedition to Korea and was successful in forcing the king of Korea to sue for peace.,military,Amin,1627,Korea
1660,"Catherine Duncan was born in 1915 in Launceston, Tasmania, to parents Gordon and Claire Duncan.",give birth,Gordon,1915,Launceston
1661,"Alonso Guerrero Pérez (born 12 November 1962; Almendralejo, Badajoz) is a Spanish writer and professor.",birth,Alonso Guerrero Pérez,12 November 1962,Almendralejo
1662,"In 1875, Reid moved to California, where he served as the headmaster of the Boys' High School in San Francisco.",career,he,1875,California
1663,"At a summer conference in Dornach he met Marie Steiner in the audience during a performance of Albert Steffen's play The Death Experience of Manes, experienced Günther Schubert and Erich Schwebsch lecturing and saw the first Mystery Play of Rudolf Steiner.",performance,he,summer,Dornach
1664,"A skilful and experienced flier, on 17 September 1911 aged 25 Lieutenant Cammell was killed in the crash of a Valkyrie monoplane at Hendon Aerodrome.",death,Cammell,17 September 1911,Hendon Aerodrome
1665,"He also designed the old Marion County courthouse which was demolished in 1962.Hodgson was one of eight charter members of the Indiana Chapter of the American Institute of Architects and relocated to Minnesota about 1882 where he designed a number of notable buildings in partnership with his oldest son, including the Industrial Exposition Building in 1886.",creation,he,about 1882,Minnesota
1666,Hall joined Bradford Park Avenue on a season's loan on 21 August 2015.,career,Hall,21 August 2015,Bradford Park Avenue
1667,"In July 1823 he began a series of trips to Naples to be with his father, who was seriously ill.",movement,he,July 1823,Naples
1668,"Knowles married Daniel Smith in The Bahamas in February 2004, when she was 17 and he was 19.",marriage,he,February 2004,The Bahamas
1669,"The cancer was found to have returned in July 1994.In September 1994, Turner made her final public appearance at the San Sebastián International Film Festival in Spain to accept a Lifetime Achievement Award, and was confined to a wheelchair for much of the event.",assembly,Turner,September 1994,Spain
1670,William Alderman Linton (1891–1960) moved to Korea in 1912 and dedicated the rest of his life to serving and developing Korean society as a Presbyterian missionary and educator.,movement,William Alderman Linton,1912,Korea
1671,"After receiving her degree in philosophy at Columbia University in New York in 1957, she continued her studies at the Courtauld Institute of Art in London, where she received her PhD in 1966 on the decorative motifs found on the medieval ste?ak tombstones of Bosnia and Herzegovina.",education,she,1957,Columbia University
1672,"In 1874, he came back to Smithsonian as a collaborator in ethnology from the United States National Museum.",movement,he,1874,Smithsonian
1673,"On October 12, 1944 a couple of dozen photographers, including founding members Bradley Smith and Ike Vern gathered in Krainin's New York studio, where for lack of any other venue they continued to meet in their early years.",assembly,Bradley Smith,"October 12, 1944",Krainin
1674,"Between 1977 and 1986, Moore was a faculty member at the Open University of the United Kingdom, and during that period was a visiting professor at the University of Wisconsin where he taught graduate seminars related to distance education and independent learners, seminars established by Wedemeyer, and the only graduate courses in the world on this topic at the time.",career,he,Between 1977 and 1986,Open University of United Kingdom
1675,"Blackett was the son of the Rev. C. R. Blackett, Independent minister at Southminster, England, where he was born 9 October 1831.",birth,he,9 October 1831,Southminster
1676,In 1920 he returned to New Zealand and was appointed Minister of Defence.,career,he,1920,New Zealand
1677,"Several internet databases, including the IMDB and Flixster, have confused her with Frank Isbell's niece Jane who was born  in Sedgwick, Kansas, September 12, 1927, and who also died in Los Angeles, unmarried, but was never an actress.",birth,Jane,"September 12, 1927",Sedgwick
1678,"In 1853, Smith was elected first Mayor of Janesville after its incorporation as a city.",career,Smith,1853,Janesville
1679,Rebecca became famous for her outreach work in Jordan in 1985 when as a director for Save the Children in Jordan she launched the Bani Hamida Weaving Project.,career,she,1985,Jordan
1680,"Lewis Tappan Barney was born in the city of Brooklyn, New York on March 18, 1844 as child of New York lawyer Hiram Barney and his wife Susannah A. Tappan.",birth,Lewis Tappan Barney,"March 18, 1844",Brooklyn
1681,"In 1957, Ivan Varichev graduated from the Leningrad Institute of Painting, Sculpture and Architecture named after Ilya Repin in Yuri Neprintsev studio, together with Galina Rumiantseva, Zlata Bizova, Ilya Glazunov, Elena Gorokhova, Vladimir Malevsky, Dmitry Oboznenko, Vladimir Proshkin, and other young artists.",education,Vladimir Malevsky,1957,"Leningrad Institute of Painting, Sculpture and Architecture"
1682,"Kuralt was born in 1908 in Springfield, Massachusetts.",birth,Kuralt,1908,Springfield
1683,Shiffrin started the 2018 season with a 5th-place finish in giant slalom at S?lden.,competition,Shiffrin,the 2018 season,S?lden
1684,He attended the Wharton School of the University of Pennsylvania in 2002.,education,He,2002,Wharton School of University of Pennsylvania
